School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Carl Allgrove,Public,33 Turkey Hills Road,East Granby,06026,Hartford,100.0,100.0,98.3,100.0,98.3,100.0,98.3,0.0,0.0,0.0
Memorial Elementary School,Public,20 Smith Street,East Hampton,06424,Middlesex,99.2,97.5,99.2,99.2,99.2,98.3,97.5,0.0,0.0,0.0
Anna Norris Elementary School,Public,40 Remington Road,East Hartford,06108,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Dr. Franklin Mayberry Elementary School,Public,101 Great Hill Rd,East Hartford,06108,Hartford,93.2,93.2,98.3,94.9,93.2,91.5,89.8,0.0,0.0,0.0
Dr. John Langford Elementary School,Public,61 Alps Dr,East Hartford,06108,Hartford,98.1,98.1,98.1,100.0,96.2,98.1,94.3,0.0,0.0,0.0
Governor William Pitkin School,Public,330 Hills street,East Hartford,06118,Hartford,96.0,96.0,98.0,100.0,98.0,100.0,94.0,0.0,0.0,0.0
Joseph O. Goodwin Elementary School,Public,1235 Forbes Street,East Hartford,06118,Hartford,100.0,100.0,97.8,100.0,97.8,93.5,93.5,0.0,0.0,0.0
Riverside Magnet School,Public,29 Willowbrook Road,East Hartford,06118,Hartford,100.0,100.0,100.0,100.0,98.4,98.4,96.9,0.0,0.0,0.0
Robert J. O'Brien Stem Academy,Public,56 Farm Drive,East Hartford,06108,Hartford,95.3,95.3,96.9,95.3,96.9,98.4,93.8,0.0,0.0,0.0
Silver Lane Elementary School,Public,15 Mercer Avenue,East Hartford,06118,Hartford,95.7,95.7,100.0,95.7,97.9,97.9,95.7,0.0,0.0,0.0
Thomas S. O'Connell Elementary School East,Public,305 May Road,East Hartford,06118,Hartford,98.8,98.8,98.8,98.8,98.8,98.8,98.8,0.0,0.0,0.0
Woodland School,Public,110 Long Hill Dr,East Hartford,06108,Hartford,,,,,,,,,,
Hartland School,Public,30 South Rd,East Hartland,06027,Hartford,,,,,,,,,,
Deer Run Elementary School,Public,311 Foxon Road,East Haven,06513,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Grove J. Tuttle Elementary School,Public,108 Prospect road,East Haven,06512,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Momauguin,Public,99 Cosey Beach Rd.,East Haven,06512,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Flanders School,Public,167 Boston Post Road,East Lyme,06333,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Eastford Elementary School,Public,12 Westford Road,Eastford,06242,Windham,,,,,,,,,,
Samuel Staples Elementary School,Public,515 Morehouse Road,Easton,06612,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Center School,Public,49 Main St.,Ellington,06029,Tolland,98.4,98.4,96.7,100.0,96.7,100.0,96.7,0.0,0.0,0.0
Crystal Lake School,Public,59 South Rd.,Ellington,06029,Tolland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Windermere School,Public,2 Abbott Road,Ellington,06029,Tolland,98.9,98.9,100.0,100.0,100.0,97.7,97.7,0.0,0.0,0.0
Enfield Montessori,Non-public,1325 Enfield St,Enfield,06082,Tolland,,,,,,,,,,
enfield street school,Public,1318 enfield street,Enfield,06082,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Hazardville Memorial Elementary,Public,68 North Maple Street,Enfield,06082,Hartford,99.1,99.1,100.0,100.0,100.0,100.0,99.1,0.0,0.0,0.0
Henry Barnard,Public,27 Shaker Road,Enfield,06082,Hartford,99.2,99.2,99.2,99.2,98.4,98.4,98.4,0.0,0.8,0.8
St. Bernard School,Non-public,232 Pearl street,Enfield,06082,Tolland,,,,,,,,,,
Burr Elementary,Public,1960 Burr Street,Fairfield,06824,Fairfield,98.2,98.2,98.2,98.2,98.2,96.5,96.5,0.0,1.8,1.8
Fairfield Country Day School,Non-public,2970 Bronson Rd.,Fairfield,06824,Fairfield,,,,,,,,,,
Holland Hill,Public,105 Meadowcroft Road,Fairfield,06824,Fairfield,100.0,98.2,98.2,100.0,98.2,100.0,98.2,0.0,0.0,0.0
Jennings Elementary School,Public,31 Palm Drive,Fairfield,06825,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
McKinley Elementary,Public,60 Thompson st,Fairfield,06825,Hartford,96.3,96.3,96.3,96.3,95.1,95.1,96.3,1.2,1.2,2.4
Mill Hill School,Public,635 Mill Hill Terrace,Fairfield,06460,Fairfield,98.3,98.3,100.0,98.3,100.0,98.3,98.3,0.0,0.0,0.0
North Stratfield Elementary School,Public,190 Putting Green Road,Fairfield,06825,Fairfield,98.3,96.6,98.3,98.3,98.3,96.6,96.6,0.0,1.7,1.7
Osborn Hill Elementary School,Public,760 Stillson Rd,Fairfield,06824,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Our Lady Of Assumption Catholic School,Non-public,605 Stratfield Rd,Fairfield,06825,Fairfield,,,,,,,,,,
Riverfield,Public,1625 Mill Plain Road,Fairfield,06824,Fairfield,98.5,98.5,95.5,98.5,97.0,97.0,95.5,0.0,1.5,1.5
Roger Sherman Elementary,Public,250 Fern Street,Fairfield,06824,Fairfield,100.0,100.0,100.0,100.0,98.0,98.0,96.1,0.0,0.0,0.0
St. Thomas Aquinas Catholic School,Non-public,1719 Post Road,Fairfield,06824,Fairfield,,,,,,,,,,
Stratfield,Public,1407 Melville Ave,Fairfield,06825,Fairfield,95.8,95.8,97.9,95.8,95.8,97.9,95.8,0.0,0.0,0.0
